Device Model,Operating System,App Usage Time (min/day),Screen On Time (hours/day),Battery Drain (mAh/day),Number of Apps Installed,Data Usage (MB/day),User Behavior Class,App Efficiency,Battery Efficiency,Usage Intensity,App Usage Density
1,1,100,3.3,961,21,433,2,4.762,0.003,0.229,30.303
3,1,301,6.5,2084,71,1421,4,4.239,0.003,1.359,46.308
0,1,78,1.7,455,15,207,1,5.2,0.004,0.092,45.882
0,1,163,3.1,620,21,419,2,7.762,0.005,0.351,52.581
1,1,539,9.3,2606,92,1990,5,5.859,0.004,3.481,57.957
0,1,278,4.6,1385,47,823,3,5.915,0.003,0.888,60.435
2,1,451,6.1,2108,76,1434,4,5.934,0.003,1.91,73.934
2,1,481,10.9,2752,86,2017,5,5.593,0.004,3.641,44.128
2,1,133,3.4,714,38,445,2,3.5,0.005,0.314,39.118
3,1,41,1.1,588,10,246,1,4.1,0.002,0.031,37.273
4,0,152,3.3,1175,29,461,2,5.241,0.003,0.348,46.061
1,1,553,8.4,2559,89,2471,5,6.213,0.003,3.226,65.833
4,0,402,6.9,2282,78,1397,4,5.154,0.003,1.926,58.261
1,1,555,9.5,2855,95,1565,5,5.842,0.003,3.661,58.421
4,0,499,9.6,2873,81,1805,5,6.16,0.003,3.327,51.979
3,1,101,3.2,603,28,417,2,3.607,0.005,0.224,31.562
1,1,433,6.8,2093,75,1300,4,5.773,0.003,2.045,63.676
1,1,133,2.0,1007,31,417,2,4.29,0.002,0.185,66.5
3,1,351,6.1,1941,79,1290,4,4.443,0.003,1.487,57.541
2,1,532,10.7,2556,83,2148,5,6.41,0.004,3.953,49.72
1,1,92,2.5,690,31,563,2,2.968,0.004,0.16,36.8
3,1,511,10.8,2712,97,2438,5,5.268,0.004,3.832,47.315
3,1,384,7.0,2185,72,1376,4,5.333,0.003,1.867,54.857
4,0,193,5.2,1318,49,626,3,3.939,0.004,0.697,37.115
2,1,132,3.8,649,25,368,2,5.28,0.006,0.348,34.737
2,1,360,7.3,1946,79,1164,4,4.557,0.004,1.825,49.315
4,0,159,2.3,1083,32,526,2,4.969,0.002,0.254,69.13
4,0,495,8.9,2855,91,2150,5,5.44,0.003,3.059,55.618
3,1,537,10.0,2720,83,1763,5,6.47,0.004,3.729,53.7
1,1,129,3.4,1059,27,580,2,4.778,0.003,0.305,37.941
4,0,132,3.8,636,28,529,2,4.714,0.006,0.348,34.737
3,1,37,1.4,369,18,295,1,2.056,0.004,0.036,26.429
2,1,524,8.9,2549,88,1730,5,5.955,0.003,3.239,58.876
1,1,425,6.9,2142,66,1130,4,6.439,0.003,2.036,61.594
1,1,64,1.7,585,13,107,1,4.923,0.003,0.076,37.647
4,0,573,10.8,2711,96,2118,5,5.969,0.004,4.298,53.056
0,1,45,1.7,302,16,191,1,2.812,0.006,0.053,26.471
3,1,564,11.7,2764,81,2133,5,6.963,0.004,4.582,48.205
1,1,162,3.5,761,36,338,2,4.5,0.005,0.394,46.286
2,1,451,6.5,2378,69,1341,4,6.536,0.003,2.036,69.385
1,1,30,1.3,479,16,253,1,1.875,0.003,0.027,23.077
2,1,202,5.0,1542,45,844,3,4.489,0.003,0.701,40.4
0,1,71,1.5,590,17,257,1,4.176,0.003,0.074,47.333
0,1,314,6.2,2205,63,1066,4,4.984,0.003,1.352,50.645
3,1,168,4.0,866,22,581,2,7.636,0.005,0.467,42.0
0,1,75,1.9,537,13,230,1,5.769,0.004,0.099,39.474
1,1,42,1.4,324,13,272,1,3.231,0.004,0.041,30.0
1,1,441,7.9,2332,78,1477,4,5.654,0.003,2.419,55.823
0,1,523,10.5,2460,99,1787,5,5.283,0.004,3.814,49.81
3,1,100,2.4,982,31,478,2,3.226,0.002,0.167,41.667
1,1,52,1.2,398,14,172,1,3.714,0.003,0.043,43.333
1,1,397,7.0,2352,77,1101,4,5.156,0.003,1.93,56.714
3,1,424,7.7,1863,65,1116,4,6.523,0.004,2.267,55.065
3,1,272,5.0,1655,45,686,3,6.044,0.003,0.944,54.4
3,1,201,4.0,1791,50,914,3,4.02,0.002,0.558,50.25
3,1,570,9.0,2613,98,2497,5,5.816,0.003,3.562,63.333
3,1,64,1.3,490,14,151,1,4.571,0.003,0.058,49.231
4,0,334,6.6,2394,68,1227,4,4.912,0.003,1.531,50.606
4,0,518,9.6,2954,93,2125,5,5.57,0.003,3.453,53.958
2,1,70,1.7,359,10,109,1,7.0,0.005,0.083,41.176
4,0,334,6.8,2000,77,1079,4,4.338,0.003,1.577,49.118
3,1,563,8.4,2849,85,1508,5,6.624,0.003,3.284,67.024
4,0,181,4.1,1608,43,752,3,4.209,0.003,0.515,44.146
1,1,584,9.4,2766,84,2151,5,6.952,0.003,3.812,62.128
2,1,208,4.7,1642,45,861,3,4.622,0.003,0.679,44.255
2,1,381,6.6,2160,69,1450,4,5.522,0.003,1.746,57.727
3,1,426,6.5,1969,78,1266,4,5.462,0.003,1.923,65.538
1,1,284,4.2,1360,56,888,3,5.071,0.003,0.828,67.619
0,1,105,2.2,1002,29,453,2,3.621,0.002,0.16,47.727
0,1,179,2.3,1014,32,588,2,5.594,0.002,0.286,77.826
4,0,122,2.6,639,37,568,2,3.297,0.004,0.22,46.923
1,1,501,11.9,2702,88,1738,5,5.693,0.004,4.14,42.101
3,1,269,5.9,1666,42,629,3,6.405,0.004,1.102,45.593
0,1,230,4.4,1607,52,878,3,4.423,0.003,0.703,52.273
3,1,85,1.6,417,12,122,1,7.083,0.004,0.094,53.125
2,1,411,7.8,2029,75,1136,4,5.48,0.004,2.226,52.692
2,1,73,1.7,403,12,163,1,6.083,0.004,0.086,42.941
3,1,39,1.7,530,11,268,1,3.545,0.003,0.046,22.941
4,0,386,7.7,2114,72,1209,4,5.361,0.004,2.064,50.13
0,1,49,1.3,542,16,169,1,3.062,0.002,0.044,37.692
0,1,411,6.9,1820,70,1024,4,5.871,0.004,1.969,59.565
1,1,534,10.8,2805,90,1538,5,5.933,0.004,4.005,49.444
2,1,314,7.4,2136,64,1376,4,4.906,0.003,1.614,42.432
3,1,211,4.0,1519,54,811,3,3.907,0.003,0.586,52.75
1,1,121,3.7,619,36,473,2,3.361,0.006,0.311,32.703
0,1,84,1.2,415,10,146,1,8.4,0.003,0.07,70.0
1,1,448,7.6,2199,66,1047,4,6.788,0.003,2.364,58.947
0,1,55,1.6,360,19,149,1,2.895,0.004,0.061,34.375
0,1,59,1.8,497,10,208,1,5.9,0.004,0.074,32.778
3,1,226,4.5,1781,45,649,3,5.022,0.003,0.706,50.222
2,1,580,8.5,2660,87,1795,5,6.667,0.003,3.424,68.235
1,1,65,1.8,481,18,130,1,3.611,0.004,0.081,36.111
1,1,458,6.6,2214,67,1163,4,6.836,0.003,2.099,69.394
4,0,170,2.7,805,26,344,2,6.538,0.003,0.319,62.963
4,0,264,5.2,1641,44,778,3,6.0,0.003,0.953,50.769
3,1,122,3.3,748,35,499,2,3.486,0.004,0.28,36.97
3,1,420,6.5,2113,65,1314,4,6.462,0.003,1.896,64.615
4,0,267,4.4,1505,59,971,3,4.525,0.003,0.816,60.682
4,0,469,6.0,2290,67,1086,4,7.0,0.003,1.954,78.167
4,0,541,11.4,2443,89,1923,5,6.079,0.005,4.283,47.456
4,0,155,2.9,1117,22,322,2,7.045,0.003,0.312,53.448
1,1,106,2.8,686,32,594,2,3.312,0.004,0.206,37.857
1,1,243,5.0,1232,47,877,3,5.17,0.004,0.844,48.6
1,1,410,7.5,2176,68,1213,4,6.029,0.003,2.135,54.667
4,0,285,5.1,1226,57,666,3,5.0,0.004,1.009,55.882
1,1,397,6.8,2027,66,1167,4,6.015,0.003,1.875,58.382
2,1,230,4.2,1507,51,868,3,4.51,0.003,0.671,54.762
4,0,341,7.2,2397,68,1055,4,5.015,0.003,1.705,47.361
0,1,132,2.9,1054,32,563,2,4.125,0.003,0.266,45.517
3,1,130,3.0,820,21,308,2,6.19,0.004,0.271,43.333
4,0,281,4.9,1566,59,632,3,4.763,0.003,0.956,57.347
1,1,74,2.0,320,11,103,1,6.727,0.006,0.103,37.0
1,1,299,4.3,1737,43,953,3,6.953,0.002,0.893,69.535
0,1,116,2.2,827,29,434,2,4.0,0.003,0.177,52.727
1,1,408,6.6,2026,63,1076,4,6.476,0.003,1.87,61.818
0,1,508,11.3,2590,81,2481,5,6.272,0.004,3.986,44.956
4,0,227,4.4,1275,56,984,3,4.054,0.003,0.694,51.591
0,1,274,6.0,1489,56,666,3,4.893,0.004,1.142,45.667
0,1,347,6.3,2001,61,1456,4,5.689,0.003,1.518,55.079
3,1,76,1.3,490,14,156,1,5.429,0.003,0.069,58.462
4,0,445,7.5,2007,78,1115,4,5.705,0.004,2.318,59.333
1,1,203,4.3,1554,54,638,3,3.759,0.003,0.606,47.209
2,1,199,6.0,1707,57,881,3,3.491,0.004,0.829,33.167
1,1,48,2.0,574,18,127,1,2.667,0.003,0.067,24.0
1,1,88,1.6,420,12,274,1,7.333,0.004,0.098,55.0
4,0,541,8.3,2865,89,1820,5,6.079,0.003,3.118,65.181
0,1,233,4.6,1534,49,796,3,4.755,0.003,0.744,50.652
4,0,176,3.8,727,36,362,2,4.889,0.005,0.464,46.316
1,1,191,6.0,1762,45,904,3,4.244,0.003,0.796,31.833
0,1,461,7.5,2001,69,1324,4,6.681,0.004,2.401,61.467
2,1,37,1.5,375,18,246,1,2.056,0.004,0.039,24.667
1,1,531,9.8,2905,99,1632,5,5.364,0.003,3.614,54.184
2,1,473,7.9,2292,62,1472,4,7.629,0.003,2.595,59.873
2,1,30,1.3,561,15,252,1,2.0,0.002,0.027,23.077
4,0,306,6.1,2267,70,1449,4,4.371,0.003,1.296,50.164
4,0,64,1.2,590,13,155,1,4.923,0.002,0.053,53.333
4,0,75,1.0,435,13,223,1,5.769,0.002,0.052,75.0
4,0,597,10.3,2718,90,1863,5,6.633,0.004,4.27,57.961
4,0,529,10.5,2971,87,1683,5,6.08,0.004,3.857,50.381
4,0,290,6.0,1533,54,645,3,5.37,0.004,1.208,48.333
4,0,256,5.8,1309,52,840,3,4.923,0.004,1.031,44.138
4,0,308,7.7,1974,73,1431,4,4.219,0.004,1.647,40.0
1,1,156,3.3,1020,38,447,2,4.105,0.003,0.358,47.273
2,1,62,1.4,542,18,266,1,3.444,0.003,0.06,44.286
0,1,156,3.8,866,34,510,2,4.588,0.004,0.412,41.053
2,1,303,7.4,2314,66,1387,4,4.591,0.003,1.557,40.946
2,1,463,6.9,2111,73,1463,4,6.342,0.003,2.219,67.101
0,1,60,1.5,593,14,281,1,4.286,0.003,0.062,40.0
0,1,225,4.6,1230,52,954,3,4.327,0.004,0.719,48.913
2,1,379,7.5,1823,68,1075,4,5.574,0.004,1.974,50.533
1,1,53,1.4,455,14,106,1,3.786,0.003,0.052,37.857
2,1,30,1.9,574,19,287,1,1.579,0.003,0.04,15.789
4,0,291,4.1,1326,51,905,3,5.706,0.003,0.829,70.976
4,0,488,9.5,2840,92,1986,5,5.304,0.003,3.219,51.368
0,1,74,2.0,366,13,253,1,5.692,0.005,0.103,37.0
2,1,230,4.6,1325,55,845,3,4.182,0.003,0.735,50.0
2,1,517,11.8,2435,86,2208,5,6.012,0.005,4.237,43.814
1,1,557,10.4,2900,97,1609,5,5.742,0.004,4.023,53.558
3,1,78,1.5,341,11,259,1,7.091,0.004,0.081,52.0
4,0,321,7.9,2159,64,1499,4,5.016,0.004,1.761,40.633
3,1,579,8.6,2539,84,1935,5,6.893,0.003,3.458,67.326
1,1,382,7.2,1965,67,1341,4,5.701,0.004,1.91,53.056
3,1,516,11.6,2464,82,1767,5,6.293,0.005,4.157,44.483
1,1,598,11.2,2876,85,2477,5,7.035,0.004,4.651,53.393
1,1,102,3.9,747,36,408,2,2.833,0.005,0.276,26.154
4,0,165,2.4,816,35,503,2,4.714,0.003,0.275,68.75
4,0,558,9.8,2765,83,1548,5,6.723,0.004,3.798,56.939
0,1,561,10.6,2547,86,1823,5,6.523,0.004,4.13,52.925
2,1,511,10.9,2514,91,2335,5,5.615,0.004,3.868,46.881
0,1,560,11.3,2947,95,1663,5,5.895,0.004,4.394,49.558
1,1,69,1.3,434,12,164,1,5.75,0.003,0.062,53.077
1,1,44,1.1,531,17,232,1,2.588,0.002,0.034,40.0
4,0,65,1.7,490,17,122,1,3.824,0.003,0.077,38.235
0,1,458,6.0,1875,63,1072,4,7.27,0.003,1.908,76.333
2,1,525,10.8,2445,99,1623,5,5.303,0.004,3.938,48.611
1,1,106,3.0,922,22,313,2,4.818,0.003,0.221,35.333
4,0,188,4.6,1767,47,653,3,4.0,0.003,0.601,40.87
4,0,493,10.4,2453,99,1813,5,4.98,0.004,3.561,47.404
1,1,84,1.5,373,19,299,1,4.421,0.004,0.088,56.0
1,1,104,2.9,653,35,322,2,2.971,0.004,0.209,35.862
2,1,102,3.0,890,38,548,2,2.684,0.003,0.212,34.0
4,0,349,6.6,2041,78,1096,4,4.474,0.003,1.6,52.879
1,1,98,2.0,925,32,457,2,3.062,0.002,0.136,49.0
2,1,72,1.3,461,13,199,1,5.538,0.003,0.065,55.385
3,1,563,11.6,2968,92,2191,5,6.12,0.004,4.535,48.534
3,1,119,2.8,775,31,313,2,3.839,0.004,0.231,42.5
1,1,311,7.9,2231,69,1021,4,4.507,0.004,1.706,39.367
1,1,337,6.1,1901,76,1359,4,4.434,0.003,1.428,55.246
2,1,168,3.5,1055,29,313,2,5.793,0.003,0.408,48.0
